"set_num","name","year","theme_id"
"055-1","Trees & Bushes",1966,371
"060-1","Assorted White Plates",1966,371
"063-1","Five Large Base Plates - Blue",1966,371
"101-3","4.5V Battery Case",1966,243
"113-2","Motorized Train Set",1966,235
"120-2","Small Basic Set",1966,366
"152-1","Two Train Wagons",1966,235
"285-1","Medium Basic Set",1966,366
"333-3","Delivery Truck",1966,382
"402-3","White Turntables",1966,371
"414-4","Windows Parts Pack, White (The Building Toy)",1966,371
"415-1","5 Sixteens and 4 Twenties (System)",1966,371
"417-4","Cornerbricks (System)",1966,371
"419-2","2 x 3 Bricks (The Building Toy)",1966,371
"420-4","2 x 2 Bricks (System)",1966,371
"422-1","1 x 1, 1 x 2, 1 x 4, 1 x 6, 1 x 8 Bricks",1966,371
"427-1","8 Plates 2 x 8 (The Building Toy)",1966,371
"430-2","Six Trees and Bushes (The Building Toy)",1966,371
"433-1","6 Street Lamps with Curved Top (The Building Toy)",1966,371
"437-1","50 numbered bricks (The Building Toy)",1966,371
"452-2","1 x 6 x 2 Window, Red or White",1966,371
"455-2","1 x 3 x 2 Window, Red or White",1966,371
"458-1","1 x 2 x 1 Window, Red or White",1966,371
"459-1W","1 x 1 x 1 Windows Refill, White",1966,371
"460-2W","1 x 2 x 3 Doors Refill, White",1966,371
"463-1","4 x 8 Plates, White",1966,371
"471-1","Tiles (System)",1966,371
"480-6","Slopes and Slopes Double 2 x 4, Red (System)",1966,371
"481-4","Slopes and Slopes Double 2 x 3 an 2 x 1, Blue (The Building Toy)",1966,371
"482-3","Slopes and Slopes Double 2 x 2, Red (The Building Toy)",1966,371
"483-5","Angle, Valley and Corner Slopes, Blue (The Building Toy)",1966,371
"488-1","1 x 1 Bricks with Letters (System)",1966,371
"491-2","Shell Station Brick and Sign, 6 Named Beams",1966,371
"501-3","JUMBO Pull Toy",1966,369
"820-2","LegoWooden Storage Box Large (Double Latch) with Contents, with Lattice",1966,365
"080-1","Basic Building Set with Train",1967,366
"116-1","Starter Train Set with Motor",1967,235
"155-1","2 Cross Rails, 8 Straight Tracks, 4 Base Plates",1967,243
"328-2","Biplane",1967,374
"332-1","Tow Truck",1967,378
"335-2","Transport Truck",1967,382
"371-2","Motorized Truck Set",1967,301
"404-3","Wheels for Motor (The Building Toy)",1967,371
"494-2","Gates and Fence, White (The Building Toy)",1967,371
"010-3","Basic Building Set",1968,366
"033-2","Basic Building Set",1968,366
"060-3","Jumbo Brick School Set",1968,440
"116-2","Deluxe Motorized Train Set",1968,235
"119-1","Super Train Set",1968,235
"223-1","Adventure Set",1968,366
"239-2","Das große Lego-Buch Idea Book",1968,497
"317-3","Truck",1968,378
"329-3","Antique Car",1968,378
"331-2","Dump Truck",1968,381
"336-1","Fire Engine",1968,376
"341-3","Warehouse",1968,367
"343-1","Train Ferry",1968,377
"044-2","Jumbo Bricks",1969,440
"088-1","Super Set",1969,469
"103-1","4.5V Motor Set with Rubber Tracks",1969,473
"122-1","Loco and Tender",1969,235
"125-1","Tipping Wagon",1969,235
"139-1","Electronic Control Unit (Forward/Backward - Stop)",1969,243
"157-2","Automatic Direction Changer",1969,243
"310-1","Motorized Truck Set",1969,365
"344-1","Bungalow",1969,413
"347-4","Fire Station with Mini-Wheel Vehicles",1969,417
"702-1","12V Motor with Accessories Pack",1969,242
"705-1","Motor Bushings",1969,242
"721-1","Steam Locomotive",1969,234
"751-1","8 Curved 12V Conducting Rails",1969,242
"842-2","Town Plan",1969,104
"902-1","5 Turntables",1969,371
"914-1","Windows, Red",1969,371
"915-2","6 bricks with 16 and 20 studs and 3 Angle Bricks Blue/Yellow",1969,371
"918-blue-2","21 Blue 2x4 Bricks",1969,371
"918-white-2","21 White 2x4 Bricks",1969,371
"922-1","28 Bricks with 1, 2, 4, 6 and 8 Studs [Red/White]",1969,371
"923-1","50 bricks, curved and round",1969,371
"971-1","52 flat tile bricks",1969,371
"981-1","34 sloping profile bricks, including profile peak bricks, Red",1969,371
"986-1","One Light Bulb",1969,371
"989-1","10 Traffic Signs",1969,371
"995-1","Lighting Bricks with Color Filters",1969,371
"102A-1","Front-End Loader",1970,416
"126-1","Steam Locomotive (Push)",1970,235
"3-6","Medium House Set",1970,433
"345-3","House with Mini-Wheel Car",1970,413
"348-2","Mini-Wheel Car and Truck Set",1970,423
"512-1","Building Set",1970,505
"601-2","Tow Truck",1970,423
"620-2","Fire Truck",1970,417
"623-2","White Car and Camper",1970,423
"723-1","Diesel Locomotive",1970,234
"801-1","Gear Set",1970,472
"1-10","Mini-Wheel Model Maker No. 1",1971,423
"107-3","4.5V Reversible Power Unit",1971,371
"21-2","Truck",1971,433
"24-1","Minitalia Train",1971,433
"261-4","Complete Kitchen Set",1971,405
"349-1","Swiss Chalet",1971,413
"361-3","Tow Truck Kit",1971,423
"373-2","Ambulance",1971,420
"376-1","Low-Loader with Excavator",1971,416
"442A-1","6 International Flags (The Building Toy)",1971,371
"604-2","Excavator",1971,416
"640-1","Fire Truck",1971,417
"644-1","Double Tanker",1971,418
"647-1","Truck with Girders",1971,416
"681-1","Low-Loader with 4 Wheel Excavator",1971,416
"795-1","Baseplates, Red and Blue",1971,473
"990-1","Trees and Signs (1971 version with granulated trees and 4 bricks)",1971,473
"131-1","Passenger Coach",1972,235
"1513-1","Denken mit Lego (Thinking with Lego 900pcs)",1972,517
"161-1","Battery Wagon with Signal and Direction - Changing",1972,243
"180-1","Train with 5 Wagons and Circle of Track",1972,235
"352-1","Windmill and Lorry",1972,413
"355-1","Town Center Set with Roadways",1972,413
"379-2","Car and Caravan",1972,423
"609-1","Aeroplane",1972,412
"651-1","Tow Truck and Car",1972,423
"685-1","Truck with Trailer",1972,423
"791-1","Storage Box - Red",1972,473
"794-1","Storage Box - Yellow",1972,473
"939-1","Flags, Trees and Road Signs",1972,473
"105-2","Building Set",1973,469
"13-2","Large Pre-School Basic Set",1973,433
"15-2","Large House Set",1973,433
"270-2","Grandfather Clock, Chair and Table",1973,405
"273-1","Bureau",1973,405
"292-1","Kitchen Sink and Cupboards",1973,405
"30-2","Small Ship Set",1973,433
"310-3","Tug",1973,363
"32-2","Large Ship Set",1973,433
"358-1","Rocket Base",1973,422
"383-1","Truck with Excavator",1973,416
"410-1","Payloader",1973,416
"460-1","Rescue Units",1973,420
"540-3","Swiss Villa",1973,413
"570-1","Fire House",1973,417
"611-1","Police Car",1973,421
"655-1","Mobile Hydraulic Lift",1973,416
"688-1","Shell Double Tanker",1973,418
"730-1","Steam Shovel with Carrier",1973,416
"900-1","Universal Motor Set",1973,473
"932-1","Blue and Yellow Bricks",1973,473
"935-1","Roof Bricks, 33 Degrees",1973,473
"938-1","Plates, Hinges and Turntables",1973,473
"145-1","Building Set",1974,469
"190-1","Farm Set",1974,364
"251-1","Windmill with Miller and his Wife",1974,364
"264-1","Living Room Set",1974,405
"274-1","Colour T.V. and Chair",1974,405
"295-1","Secretary's Desk",1974,405
"612-1","Tipper Truck",1974,416
"656-1","Car and Caravan",1974,423
"689-1","Mobile Crane",1974,416
"706-3","12V Rail Contact Wire with Transformer Connector with Cap",1974,242
"741-1","12V New Transformer for 220V Pack",1974,242
"810-3","Gear Truck Set",1974,472
"813-2","Gear Bulldozer Set",1974,472
"077-1","Pre-School Set",1975,505
"136-1","Tanker Waggon (Shell)",1975,235
"182-1","Train Set with Signal",1975,235
"253-2","Helicopter and Pilot",1975,364
"362-1","Windmill",1975,413
"365-1","Wild West Scene",1975,424
"391-1","1926 Renault",1975,404
"480-1","Rescue Helicopter",1975,417
"517-2","Bricks, Half Bricks and Arches",1975,505
"520-17","Bricks, Half Bricks, Two Trolleys",1975,505
"615-2","Fork Lift with Driver",1975,416
"692-1","Road Repair Crew",1975,416
"760-2","London Bus",1975,423
"080-3","Police Station",1976,505
"1040-3","Universal Building Set",1976,504
"1077-1","Supplementary Set",1976,528
"147-1","Refrigerated Car with Forklift",1976,235
"1560-2","Lufthansa Boeing 727",1976,412
"157-1","Curved Track",1976,243
"183-1","Complete Train Set with Motor and Signal",1976,235
"2-11","Medium Basic LEGO Set",1976,433
"211-1","Mother and Baby with Dog",1976,364
"256-1","Police Officers and Motorcycle",1976,364
"314-1","Police Boat",1976,363
"369-1","Coast Guard Station",1976,415
"386-1","Helicopter and Ambulance",1976,420
"394-1","Harley-Davidson 1000cc",1976,404
"40-1","Universal Building Set",1976,469
"445-1","Police Units",1976,421
"50-1","Universal Building Set",1976,469
"532-1","Pull-Along Ducks",1976,505
"565-1","Moon Landing",1976,422
"617-1","Cowboys",1976,424
"695-1","Racing Car",1976,423
"726-1","12V Western Train with 2 Wagons and Cowboys",1976,233
"901-1","4.5V Motor Set",1976,473
"912-1","Universal Building Set",1976,469
"WEETABIX4-1","Weetabix Promotional House 1",1976,413
"11-3","Locomotive Traction Tires",1977,456
"1102-1","Motor Bushes",1977,456
"1105-1","Crawler Tracks",1977,443
"1108-1","Magnetic Couplings",1977,456
"1110-1","Train Wheels",1977,456
"1113-1","Motor Frame and Couplers",1977,443
"1116-1","Chain Links, Small",1977,443
"112-1","Universal Building Set",1977,469
"1122-1","Hinges",1977,443
"1125-1","Crane Grab",1977,443
"1150-1","Replacement Motor 12V",1977,443
"12-3","Wheel Bearings for Locomotives",1977,456
"1575-1","Finnjet Ferry",1977,471
"163-1","Cargo Wagon",1977,235
"198-1","Cowboys",1977,364
"214-1","Road Repair",1977,364
"218-1","Firemen",1977,364
"276-1","Doctor's Office",1977,405
"29-1","4.5V Motor",1977,453
"371-3","Seaplane",1977,412
"39-1","Motor Gearbox",1977,443
"404-1","Universal Building Set",1977,469
"456-1","Spirit of St. Louis",1977,412
"522-1","Police Station",1977,504
"533-2","Racer",1977,505
"537-2","Mary's House",1977,505
"619-1","Rally Car",1977,423
"664-1","TV Crew",1977,423
"711-1","Jeep CJ-5",1977,423
"787-1","Play Mat with Drawstring",1977,473
"851-1","Tractor",1977,4
"870-1","4.5V Supplementary Set",1977,4
"98959-1","Motor",1977,4
"063-2","Ducks",1978,505
"1555-2","Sterling Airways Biplane",1978,412
"1611-2","Martinair DC-9",1978,412
"165-1","Cargo Station",1978,235
"205-2","Universal Figure Set",1978,364
"231-1","Hospital",1978,405
"278-1","Television Room",1978,405
"301-1","Curved Road Plates",1978,84
"330-2","Gas Station",1978,364
"375-2","Castle",1978,189
"398-1","U.S.S. Constellation",1978,404
"534-1","Bath-Toy Boat",1978,632
"590-1","Engine Co. No. 9",1978,74
"602-1","Fire Chief's Car",1978,74
"605-1","Street Sweeper",1978,85
"621-1","Police Car",1978,80
"625-1","Tractor",1978,72
"641-1","Excavator",1978,72
"644-2","Police Mobile Patrol",1978,80
"672-1","Fire Emergency Van",1978,74
"709-1","Police Boat",1978,363
"747-1","Baseplates, Red and Blue",1978,473
"855-1","Mobile crane",1978,4
"948-1","Go-Kart",1978,4
"956-1","Auto Chassis",1978,4
"970-1","Lighting Bricks",1978,473
"0014-1","Space Mini-Figures",1979,143
"032-1","Living Room",1979,652
"045-1","Farm",1979,632
"1236-3","12V Technic Motor",1979,453
"134-2","Service Station",1979,390
"261-1","Bathroom",1979,405
"305-1","Two Crater Plates",1979,143
"309-1","Bracelet Spring",1979,668
"312-2","Bracelet and Pendant",1979,668
"325-2","Percy Pig's Wheelbarrow",1979,390
"338-2","Blondi the Pig and Taxi Station",1979,390
"347-3","Doc David's Hospital",1979,390
"379-1","Bus Station",1979,85
"442-1","Space Shuttle",1979,130
"454-1","Two Lunar Landing Plates",1979,143
"487-1","Space Cruiser",1979,130
"497-1","Galaxy Explorer",1979,130
"551-1","T Road Plates",1979,84
"554-1","Exxon Fuel Tanker",1979,76
"560-1","Town House with Garden",1979,69
"608-2","Taxi",1979,85
"675-1","Snack Bar",1979,75
"8-2","Universal Building Set",1979,469
"874-1","Supplementary Set",1979,4
"877-1","Supplementary Set",1979,4
"880-1","Supplementary Set",1979,4
"889-1","Radar Truck",1979,130
"897-1","Mobile Rocket Launcher",1979,130
"924-1","Space Cruiser",1979,130
"950-1","Fork Lift",1979,4
"1041-2","Universal Building Set",1980,516
"1129-1","Spread Bag",1980,473
"1592-1","Town Square - Castle Scene",1980,85
"2056-1","Rock 'n' Rattle Pull-Toy",1980,504
"2625-1","Car with Boat and Trailer",1980,632
"2640-1","Grocery Store (Supermarket)",1980,632
"2650-1","Farm",1980,632
"3605-1","Ricky Racoon and his Scooter",1980,390
"4306-1","Rings",1980,668
"5233-1","Bedroom",1980,405
"6305-1","Trees and Flowers",1980,84
"6364-1","Paramedic Unit",1980,78
"6609-1","Race Car",1980,82
"6648-2","Dump Truck",1980,72
"6690-1","Snorkel Pumper",1980,74
"6861-1","X1 Patrol Craft",1980,130
"722-1","Universal Building Set",1980,469
"7710-1","Push-Along Passenger Steam Train",1980,235
"7740-1","Inter-City Passenger Train",1980,234
"7810-1","Push-Along Steam Engine",1980,235
"7818-1","Passenger Carriage",1980,235
"7834-1","Level Crossing Manual",1980,234
"7852-1","Left and Right Points Manual Gray 4.5v",1980,243
"7855-1","8 Curved Electric Rails Gray 12v",1980,242
"7858-1","Remote Controlled Points Right 12v",1980,242
"7860-1","Remote Controlled Signal 12v",1980,242
"7864-1","Transformer / Controller 12V",1980,242
"822-1","Blue Plates Parts Pack",1980,473
"832-1","Blue Bricks Parts Pack",1980,473
"836-1","Doors and Windows Parts Pack",1980,473
"839-1","Red Roof Bricks Parts Pack, 33 Degree",1980,473
"842-1","Baseplates, Red and Blue",1980,473
"8710-1","Supplementary Set",1980,4
"8860-1","Car Chassis",1980,4
"1060-1","Road Plates and Signs",1981,533
"1132-1","Hinges",1981,443
"1135-1","Battery Cable Kit: 12 Connectors, 3m Cable",1981,443
"1136-1","Buffers, Magnetic Couplers",1981,456
"1139-1","Motor-Mount Plate with Magnetic Couplers",1981,456
"1142-1","Wheel Bricks with Small Black Train-Wheels",1981,456
"1145-1","Bogie Plate",1981,456
"1148-1","Differential",1981,453
"1215-1","Train Motor 4.5V Type II Lower Housing",1981,456
"226-2","Idea Book",1981,497
"2621-2","Tractor",1981,632
"322-1","Basic Set",1981,469
"3601-1","Elton Elephant",1981,390
"3628-1","Perry Panda & Chester Chimp",1981,390
"366-1","Basic Set",1981,469
"566-1","Basic Set",1981,469
"6077-1","Knight's Procession",1981,189
"6382-1","Fire Station",1981,74
"6602-1","Fire Chief's Car",1981,74
"6626-1","Rescue Helicopter",1981,78
"6630-1","Bucket Loader",1981,72
"6681-1","Police Van",1981,80
"6822-1","Space Digger",1981,130
"6927-1","All-Terrain Vehicle",1981,130
"7777-1","Idea Book 7777",1981,499
"8845-1","Dune Buggy",1981,4
"890-1","Windup Motor",1981,473
"k1062b","Set K1062 Activity Booklet",1981,533
"1149-2","Bulldozer Chainlinks",1982,453
"1206-1","Round Bricks (2 x 2), White",1982,443
"1209-1","Fences and Gates",1982,443
"1212-1","Rocket Tops, Black",1982,443
"1217-1","Yellow Girder Beams & Plates",1982,453
"1220-1","Black Girder Beams & Plates",1982,453
"1223-1","TECHNIC beams - black",1982,453
"1226-1","Tractor Tires & Hubs",1982,453
"1229-1","TECHNIC Chainlinks",1982,453
"1232-1","Toggle Joints & Connectors",1982,453
"1656-2","Viking Line Ferry",1982,471
"1910-1","Promo Basic Set",1982,469
"2302-1","Building Plate 24 x 24",1982,504
"2641-1","Barnyard",1982,632
"3654-1","Country Cottage",1982,390
"3669-1","Fire & Police Station",1982,390
"3701-1","Fisherman Cornelius Cat",1982,390
"3706-1","Elmer Elephant",1982,390
"3781-1","Maximillian Mouse",1982,390
"3786-1","Buzzy Bulldog the Postman",1982,390
"4025-1","Fire Boat",1982,363
"6302-1","Mini-Figure Set",1982,84
"6372-1","Town House",1982,69
"6651-1","Post Office Van",1982,81
"6880-1","Surface Explorer",1982,130
"781-1","Storage Case",1982,473
"8090-1","TECHNIC Universal Set",1982,21
"1031-1","Building Cards - 1030",1983,532
"1593-1","Super Model",1983,130
"1913-1","LEGO Building Set B, Boat",1983,468
"1916-2","McDonald's Happy Meal - Animal",1983,505
"1919-1","McDonald's Happy Meal - Promotional Set",1983,505
"1944-1","Basic Set with Storage Case",1983,469
"2015-1","Oval Rattle",1983,663
"2037-1","Spin-A-Coaster",1983,663
"2634-1","Tip Truck",1983,632
"2705-1","Passenger Train",1983,634
"302-1","Straight Road Plates (without crosswalk)",1983,84
"3627-1","Bonnie Rabbit's Flower Truck",1983,390
"3709-1","Henry Horse, Carpenter",1983,390
"3788-1","Paulette Poodle's Living Room",1983,390
"6307-1","Firemen",1983,84
"6384-1","Police Station",1983,80
"6624-1","Delivery Van",1983,70
"6683-1","Burger Stand",1983,75
"6711-1","Space Mini-Figs",1983,143
"6844-1","Seismologic Vehicle (Sismobile)",1983,130
"710-3","Universal Building Set",1983,469
"7815-1","Passenger Carriage / Sleeper",1983,235
"7824-1","Railway Station",1983,235
"7867-1","12V Train Light Posts",1983,242
"105-1","Canada Post Truck",1984,81
"1204-1","Fences, Red and Black",1984,443
"1234-1","Gear Wheel Assortment",1984,453
"15-1","Castle Mini Figures",1984,447
"1954-2","Basic Set with Storage Case",1984,469
"1979-2","Town Value Pack",1984,67
"2055-1","Rocking Horse",1984,663
"2309-1","Supplementary Bricks",1984,505
"2355-1","Basic Set (Vehicles)",1984,505
"2411-1","Camping Building Set",1984,505
"2636-1","Tow Truck",1984,632
"2713-1","Points",1984,634
"3630-1","Sports Airplane",1984,390
"3670-1","Service Station",1984,390
"3712-1","Robby Rabbit and Accordion",1984,390
"3791-1","William Walrus",1984,390
"6021-1","Jousting Knights",1984,199
"6040-1","Blacksmith Shop",1984,199
"6080-1","King's Castle",1984,199
"6367-1","Truck",1984,70
"6605-1","Road Racer",1984,82
"6628-2","Construction Workers",1984,84
"6686-1","Backhoe",1984,72
"6696-1","Exxon Fuel Tanker",1984,76
"6846-1","Tri-Star Voyager",1984,130
"6928-1","Uranium Search Vehicle",1984,130
"701-1","Hinges",1984,443
"704-4","Replacement Motor",1984,443
"707-1","Tile Brick Assortment",1984,443
"710-6","Baseplate Assortment",1984,443
"8040-1","Universal Building Set",1984,21
"8889-1","Idea Book 8889",1984,498
"1000-1","Mosaic Set",1985,516
"1021-1","Basic Vehicles",1985,516
"1024-1","Animals",1985,516
"1027-1","Vehicles",1985,516
"1032-1","TECHNIC II Set {4.5v}",1985,507
"1038-1","ERBIE the Robo-Car",1985,1
"1056-1","Basic School Pack - 773 elements with teacher's manual",1985,534
"1065-1","House Accessories - 182 elements",1985,534
"1160-1","TECHNIC Pneumatic Tubing, 40cm +100cm",1985,453
"1163-1","TECHNIC Pneumatic Piston Cylinder 60mm",1985,453
"120438-1","Basic Building Set",1985,469
"1267-1","Shock Absorbers",1985,453
"1327-1","Red/Black Plates",1985,524
"1330-1","Red/Black Plates",1985,525
"1333-1","Red/Blue Beams",1985,525
"1336-1","Pole Reverser Switches for Battery Box",1985,1
"1341-1","Building Plates Green",1985,524
"1546-1","Airplane",1985,466
"1552-1","Maersk Line Container Truck",1985,70
"1655-1","Viking Line Ferry",1985,471
"1960-2","Special Value 96 pieces (Canadian Set)",1985,467
"1965-1","Basic Building Set",1985,469
"1968-1","Space Express",1985,130
"1975-1","Car and House Building Sets",1985,504
"200-2","Building Ideas Book",1985,497
"2301-1","Building Plates 6 x 12",1985,504
"2611-1","Fire Engine",1985,632
"2647-1","Farm Animals",1985,632
"308-2","Basic Building Set",1985,467
"330-1","Basic Building Set",1985,467
"3624-1","Flower Car",1985,390
"3641-1","Car & Camper",1985,390
"3660-1","Fisherman's Cottage",1985,390
"3714-1","Bricklayer Oscar Orangutan",1985,390
"3717-1","Fisherman",1985,390
"3794-1","Police Motorcycle",1985,390
"508-1","Basic Building Set",1985,467
"530-1","Basic Building Set",1985,467
"6011-1","Black Knight's Treasure",1985,187
"6213-1","Replacement Gearbox for Electric Motor",1985,456
"6370-1","Weekend Home",1985,69
"6392-1","Airport",1985,68
"6604-1","Formula-I Racer",1985,82
"6633-1","Family Car",1985,85
"6682-1","Cement Mixer",1985,72
"6697-1","Rescue-I Helicopter",1985,71
"6807-1","Space Sledge with Astronaut and Robot",1985,130
"6847-1","Space Dozer",1985,130
"6891-1","Gamma V Laser Craft",1985,130
"70012-1","Rubber Bands",1985,453
"73129-1","Four TECHNIC Shocks",1985,453
"760-1","Storage Cabinet",1985,443
"7735-1","Freight Train",1985,234
"783-1","Storage Case",1985,473
"VP-17","Legoland Town Special Offer",1985,67
"1041-1","Harbor",1986,516
"1044-1","Community Vehicles",1986,516
"1048-1","Bridge and Crossing Tracks",1986,516
"1090-1","TECHNIC Control I",1986,507
"1168-1","Battery Box",1986,1
"1171-1","Lighting Brick with Red and Blue Globes",1986,443
"1178-1","Siren, Black",1986,443
"1242-1","Crane Grab and Winch",1986,443
"1245-1","T- and Intersection Plates",1986,443
"1344-1","Light Bricks (4.5V)",1986,524
"1503-1","Car Building Set",1986,505
"1507-1","Space Value Pack",1986,130
"1525-1","Container Lorry",1986,70
"1554-1","Silja Line Ferry",1986,471
"1557-1","Scooter",1986,130
"1572-1","Super Tow Truck",1986,85
"1619-1","Storage Bucket",1986,469
"2051-1","Spin-A-Coaster",1986,504
"2750-1","Family",1986,504
"2756-1","Kitchen",1986,652
"2770-1","Play House",1986,652
"3668-1","Merry-Go-Round",1986,390
"3796-1","Small Bakery",1986,390
"392-2","Fire Engine",1986,467
"5540-1","Formula 1 Racer",1986,278
"6023-1","Maiden's Cart",1986,199
"6074-1","Black Falcon's Fortress",1986,187
"6311-1","Curved Road Plates",1986,84
"6359-1","Horse Trailer",1986,73
"6378-1","Shell Service Station",1986,76
"6450-1","Mobile Police Truck",1986,80
"6613-1","Telephone Booth",1986,85
"6659-1","TV Camera Crew",1986,79
"6698-1","RV with Speedboat",1986,77
"6780-1","XT Starship",1986,130
"6820-1","Starfire I",1986,130
"6874-1","Moon Rover",1986,130
"6940-1","Alien Moon Stalker",1986,130
"7813-1","Shell Tanker Wagon",1986,235
"800-2","Extra Bricks Red",1986,473
"803-1","Extra Bricks Yellow",1986,473
"805-1","Extra Bricks Gray",1986,473
"807-1","Extra Plates Red",1986,473
"811-1","Red Roof Bricks, Steep Pitch",1986,473
"814-1","Baseplates, Green, Red and Yellow",1986,473
"8640-1","Polar Copter",1986,2
"8842-1","Go-Cart",1986,12
"9002-1","Rattles",1986,516
"9008-1","Baby Set",1986,516
"9151-1","Family",1986,516
"9360-1","{Roadplates and Scenery}",1986,533
"1314-1","Stop bush / Small pulley",1987,1
"1317-1","TECHNIC Chainlinks",1987,1
"1320-1","Differential and Bevel Gears",1987,1
"1325-1","Assorted Spare Axles",1987,1
"1340-1","Weight Bricks",1987,1
"1348-1","Base Plates Grey",1987,524
"1469-1","Helicopter",1987,466
"1484-1","Weetabix Town House",1987,69
"1498-1","Spy-Bot",1987,130
"1509-1","Town Value Pack",1987,82
"1575-2","Basic Set with Board Game",1987,467
"1599-1","Britannia Airways",1987,466
"1604-1","Lion",1987,467
"1607-1","Helicopter",1987,466
"1613-1","Basic Set in Bucket",1987,467
"2050-1","Squirrel",1987,663
"2072-1","Touch and Learn Cot Toy",1987,663
"2333-1","Basic Set - Animal",1987,505
